rx,tx,len,type,rateMbps,rssi
0a3204a11077,deb109bed87b,108,8,48,-47
0a3204a11077,36c209aed8db,96,8,48,-54
0a3204a11077,73dfb6185cb5,96,8,12,-56
0a3204a11077,73dfb6185cb5,96,8,12,-55
0a3204a11077,96e6224fd415,108,8,9,-51
73dfb6185cb5,0a3204a11077,1544,8,11,56
0a3204a11077,96e6224fd415,108,8,36,-52
a77008a22036,0a3204a11077,1544,8,12,57
860378b2f4e6,0a3204a11077,1544,8,11,55
0a3204a11077,a77008a22036,108,8,2,-54
0a3204a11077,96e6224fd415,108,8,36,-50
0a3204a11077,860378b2f4e6,96,8,9,-42
0a3204a11077,73dfb6185cb5,96,8,12,-57
0a3204a11077,96e6224fd415,108,8,1,-51
0a3204a11077,d090b7277cb3,108,8,1,-57
0a3204a11077,73dfb6185cb5,96,8,12,-56
0a3204a11077,860378b2f4e6,96,8,9,-45
36c209aed8db,0a3204a11077,90,8,2,56
02a9718f10aa,0a3204a11077,1544,8,5,54
0a3204a11077,b7cc04c1700c,108,8,54,-43
0a3204a11077,73dfb6185cb5,96,8,12,-56
b7cc04c1700c,0a3204a11077,1544,8,24,58
0a3204a11077,73dfb6185cb5,96,8,24,-56
7b376686c0e6,0a3204a11077,1544,8,12,57
0a3204a11077,b7cc04c1700c,108,8,54,-43
0c456dd3601d,0a3204a11077,1544,8,18,55
0a3204a11077,7b376686c0e6,128,8,9,-57
d10a78ddd830,0a3204a11077,1544,8,11,56
0a3204a11077,d10a78ddd830,96,8,6,-53
0a3204a11077,0c456dd3601d,108,8,6,-54
0a3204a11077,b7cc04c1700c,108,8,54,-43
0a3204a11077,d10a78ddd830,96,8,6,-50
0a3204a11077,b7cc04c1700c,20,4,1,-44
0a3204a11077,b7cc04c1700c,108,8,48,-43
49dc042170bc,0a3204a11077,1544,8,5,57
0a3204a11077,7b376686c0e6,128,8,2,-43
0a3204a11077,d090b7277cb3,108,8,2,-57
0a3204a11077,d090b7277cb3,108,8,1,-58
d090b7277cb3,0a3204a11077,1544,8,18,54
e65a2b5aa0d4,250855da28fb,28,8,6,-59
0a3204a11077,d10a78ddd830,96,8,6,-51
0a3204a11077,93ea1453ecf8,120,8,9,-56
93ea1453ecf8,0a3204a11077,1544,8,11,54
0a3204a11077,7b376686c0e6,128,8,1,-55
0a3204a11077,96e6224fd415,108,8,9,-52
0a3204a11077,96e6224fd415,108,8,9,-52
0a3204a11077,96e6224fd415,108,8,9,-52
96e6224fd415,0a3204a11077,1544,8,5,56
ffffffffffff,0a3204a11077,153,0,0,0
0a3204a11077,96e6224fd415,108,8,9,-52
0a3204a11077,23210a2220af,108,8,12,-52
0a3204a11077,23210a2220af,108,8,11,-49
23210a2220af,0a3204a11077,1544,8,5,55
0a3204a11077,96e6224fd415,108,8,54,-54
deb109bed87b,0a3204a11077,1544,8,11,52
0a3204a11077,96e6224fd415,108,8,54,-54
ffffffffffff,0a3204a11077,86,8,11,-128
73dfb6185cb5,0a3204a11077,168,8,12,55
0a3204a11077,73dfb6185cb5,96,8,2,-55
0a3204a11077,a77008a22036,108,8,2,-53
0a3204a11077,a77008a22036,108,8,2,-53
0a3204a11077,73dfb6185cb5,96,8,11,-54
a77008a22036,0a3204a11077,1544,8,11,56
0a3204a11077,8bc8280160dd,20,4,11,-54
0a3204a11077,8bc8280160dd,120,8,12,-54
0a3204a11077,8bc8280160dd,120,8,11,-55
860378b2f4e6,0a3204a11077,1544,8,11,54
0a3204a11077,7b376686c0e6,128,8,1,-44
02a9718f10aa,0a3204a11077,1544,8,5,57
0a3204a11077,860378b2f4e6,96,8,9,-44
0a3204a11077,02a9718f10aa,108,8,2,-41
0a3204a11077,b7cc04c1700c,108,8,54,-44
0a3204a11077,73dfb6185cb5,96,8,11,-55
0a3204a11077,02a9718f10aa,108,8,2,-42
0a3204a11077,860378b2f4e6,96,8,9,-45
0a3204a11077,8bc8280160dd,120,8,11,-56
b7cc04c1700c,0a3204a11077,1544,8,24,52
0a3204a11077,8bc8280160dd,20,4,11,-55
36c209aed8db,0a3204a11077,90,8,12,56
0a3204a11077,73dfb6185cb5,96,8,11,-55
7b376686c0e6,0a3204a11077,1544,8,12,47
0a3204a11077,36c209aed8db,96,8,48,-51
0c456dd3601d,0a3204a11077,1544,8,18,57
d10a78ddd830,0a3204a11077,1544,8,11,53
0a3204a11077,860378b2f4e6,96,8,9,-46
0a3204a11077,49dc042170bc,108,8,48,-51
49dc042170bc,0a3204a11077,1544,8,11,58
0a3204a11077,860378b2f4e6,96,8,18,-46
0a3204a11077,73dfb6185cb5,96,8,11,-55
0a3204a11077,49dc042170bc,108,8,48,-47
0a3204a11077,d090b7277cb3,108,8,2,-59
0a3204a11077,860378b2f4e6,96,8,18,-46
0a3204a11077,73dfb6185cb5,96,8,2,-54
0a3204a11077,7b376686c0e6,128,8,1,-52
0a3204a11077,7b376686c0e6,120,8,9,-58
ffffffffffff,118f7f7fac1d,141,0,1,-42
